+--------------+------------------------+--------------+--------------+--------------+--------------+--------------+--------------+--------------+--------------+---------------+---------------+---------------+
|  Drop State  |     Expected Value     | Dice Sum = 2 | Dice Sum = 3 | Dice Sum = 4 | Dice Sum = 5 | Dice Sum = 6 | Dice Sum = 7 | Dice Sum = 8 | Dice Sum = 9 | Dice Sum = 10 | Dice Sum = 11 | Dice Sum = 12 |
| 111110000111 | 0.0010564544260126397  |      2       |      3       |      4       |      5       |     2 4      |     3 4      |     3 5      |     4 5      |       10      |       11      |       12      |
| 111110000110 |  0.008891494422711081  |      2       |      3       |      4       |     2 3      |     2 4      |     3 4      |     3 5      |     4 5      |       10      |       11      |      1 11     |
| 111110000101 | 0.0037692147093938925  |      2       |      3       |      4       |     2 3      |     2 4      |     3 4      |     3 5      |     4 5      |       10      |      1 10     |       12      |
| 111110000100 |   0.0338301532413758   |      2       |      3       |      4       |     2 3      |     2 4      |     3 4      |     3 5      |     4 5      |       10      |      1 10     |      2 10     |
| 111110000011 |  0.001456503917532708  |      2       |      3       |      4       |      5       |     2 4      |     2 5      |     3 5      |     4 5      |       0       |       11      |       12      |
| 111110000010 |  0.015665750055039035  |      2       |      3       |      4       |     2 3      |     2 4      |     2 5      |     3 5      |     4 5      |       0       |       11      |      1 11     |
| 111110000001 | 0.0035871955917966434  |      2       |     1 2      |      4       |      5       |     1 5      |     3 4      |     3 5      |     4 5      |       0       |       0       |       12      |
| 111110000000 |  0.03206923487273282   |      2       |     1 2      |      4       |      5       |     1 5      |     3 4      |     3 5      |     4 5      |       0       |       0       |       0       |
| 111101111111 | 0.0018932189803089524  |      2       |      3       |      4       |     2 3      |      6       |      7       |      8       |      9       |       10      |       11      |       12      |
| 111101111110 |  0.009455122213247558  |      2       |      3       |      4       |     2 3      |      6       |      7       |      8       |      9       |       10      |       11      |      1 11     |
| 111101111101 |  0.004639658899288787  |      2       |      3       |      4       |     2 3      |      6       |      7       |      8       |      9       |       10      |      1 10     |       12      |
| 111101111100 |  0.02495225505888869   |      2       |      3       |      4       |     2 3      |      6       |      7       |      8       |      9       |       10      |      1 10     |      2 10     |
| 111101111011 | 0.0029596238881960525  |      2       |      3       |      4       |     2 3      |      6       |      7       |      8       |      9       |      1 9      |       11      |       12      |
| 111101111010 |  0.016647481992770424  |      2       |      3       |      4       |     2 3      |      6       |      7       |      8       |      9       |      1 9      |       11      |      1 11     |
| 111101111001 |  0.007605365958729358  |      2       |      3       |      4       |     2 3      |      6       |      7       |      8       |      9       |      1 9      |      2 9      |       12      |
| 111101111000 |  0.04594099082827789   |      2       |      3       |      4       |     2 3      |      6       |      7       |      8       |      9       |      1 9      |      2 9      |      3 9      |
| 111101110111 | 0.0020870543570241347  |      2       |      3       |      4       |     2 3      |      6       |      7       |      8       |     2 7      |       10      |       11      |       12      |
| 111101110110 |  0.011878973542799721  |      2       |      3       |      4       |     2 3      |      6       |      7       |      8       |     3 6      |       10      |       11      |      1 11     |
| 111101110101 |  0.005667038283672167  |      2       |      3       |      4       |     2 3      |      6       |      7       |      8       |     2 7      |       10      |      1 10     |       12      |
| 111101110100 |  0.034894535270613286  |      2       |      3       |      4       |     2 3      |      6       |      7       |      8       |     3 6      |       10      |      1 10     |      2 10     |
| 111101110011 | 0.0033816930700878026  |      2       |      3       |      4       |     2 3      |      6       |      7       |      8       |     1 8      |      2 8      |       11      |       12      |
| 111101110010 |  0.02222705023518407   |      2       |      3       |      4       |     2 3      |      6       |      7       |      8       |     2 7      |      2 8      |       11      |      1 11     |
| 111101110001 |  0.009328293186468292  |      2       |      3       |      4       |     1 4      |      6       |      7       |      8       |     1 8      |      2 8      |      3 8      |       12      |
| 111101110000 |   0.0645972083081071   |      2       |      3       |      4       |     2 3      |      6       |      7       |      8       |     1 8      |      2 8      |      3 8      |      4 8      |
| 111101101111 |  0.001585217822311926  |      2       |      3       |      4       |     2 3      |      6       |      7       |     1 7      |      9       |       10      |       11      |       12      |
| 111101101110 |  0.008924118161246313  |      2       |      3       |      4       |     2 3      |      6       |      7       |     1 7      |      9       |       10      |       11      |      1 11     |
| 111101101101 |  0.004328072632593962  |      2       |      3       |      4       |     2 3      |      6       |      7       |     1 7      |      9       |       10      |      1 10     |       12      |
| 111101101100 |  0.026626868034269086  |      2       |      3       |      4       |     1 4      |      6       |      7       |     1 7      |      9       |       10      |      1 10     |      2 10     |
| 111101101011 | 0.0026861534788035157  |      2       |      3       |      4       |     2 3      |      6       |      7       |     1 7      |      9       |      1 9      |       11      |       12      |
| 111101101010 |  0.017297028145919924  |      2       |      3       |      4       |     2 3      |      6       |      7       |     2 6      |      9       |      1 9      |       11      |      1 11     |
| 111101101001 |  0.007750336075249494  |      2       |      3       |      4       |     2 3      |      6       |      7       |     1 7      |      9       |      1 9      |      2 9      |       12      |
| 111101101000 |  0.054417696267083274  |      2       |      3       |      4       |     1 4      |      6       |      7       |     1 7      |      9       |      1 9      |      2 9      |      3 9      |
| 111101100111 |  0.001781129290539124  |      2       |      3       |      4       |     2 3      |      6       |      7       |     1 7      |     3 6      |       10      |       11      |       12      |
| 111101100110 |  0.011741617238114156  |      2       |      3       |      4       |     2 3      |      6       |      7       |     1 7      |     3 6      |       10      |       11      |      1 11     |
| 111101100101 |  0.005451613743708732  |      2       |      3       |      4       |     2 3      |      6       |      7       |     1 7      |     3 6      |       10      |      1 10     |       12      |
| 111101100100 |  0.03921143450513556   |      2       |      3       |      4       |     1 4      |      6       |      7       |     1 7      |     3 6      |       10      |      1 10     |      2 10     |
| 111101100011 | 0.0030292770010178294  |      2       |      3       |      4       |     2 3      |     2 4      |     1 6      |     1 7      |     2 7      |      3 7      |       11      |       12      |
| 111101100010 |  0.02369752416072527   |      2       |      3       |      4       |     2 3      |     2 4      |      7       |     1 7      |     2 7      |      3 7      |       11      |      1 11     |
| 111101100001 |  0.009654339642711984  |      2       |      3       |     1 3      |     1 4      |     2 4      |     1 6      |     1 7      |     3 6      |      3 7      |      4 7      |       12      |
| 111101100000 |  0.08119822229207946   |      2       |      3       |     1 3      |     1 4      |     2 4      |     1 6      |     1 7      |     3 6      |      3 7      |      4 7      |       0       |
| 111101011111 | 0.0013219834498979606  |      2       |      3       |      4       |     2 3      |      6       |     3 4      |      8       |      9       |       10      |       11      |       12      |
| 111101011110 |  0.007557327019288602  |      2       |      3       |      4       |     2 3      |      6       |     3 4      |      8       |      9       |       10      |       11      |      1 11     |
| 111101011101 | 0.0036282970914913366  |      2       |      3       |      4       |     2 3      |      6       |     3 4      |      8       |      9       |       10      |      1 10     |       12      |
| 111101011100 |  0.02259112705944584   |      2       |      3       |      4       |     2 3      |      6       |     3 4      |      8       |      9       |       10      |      1 10     |      2 10     |
| 111101011011 |  0.002253187166937465  |      2       |      3       |      4       |     2 3      |      6       |     3 4      |      8       |      9       |      1 9      |       11      |       12      |
| 111101011010 |  0.014697768518133035  |      2       |      3       |      4       |     2 3      |      6       |     3 4      |      8       |      9       |      1 9      |       11      |      1 11     |
| 111101011001 |  0.006441743184826073  |      2       |      3       |      4       |     2 3      |      6       |     1 6      |      8       |      9       |      1 9      |      2 9      |       12      |
| 111101011000 |  0.045768079955606555  |      2       |      3       |      4       |     2 3      |      6       |     1 6      |      8       |      9       |      1 9      |      2 9      |      3 9      |
| 111101010111 |  0.00153118705109059   |      2       |      3       |      4       |     2 3      |      6       |     3 4      |      8       |     1 8      |       10      |       11      |       12      |
| 111101010110 |  0.010078962254129572  |      2       |      3       |      4       |     2 3      |      6       |     3 4      |      8       |     1 8      |       10      |       11      |      1 11     |
| 111101010101 |  0.004654291871896801  |      2       |      3       |      4       |     2 3      |      6       |     3 4      |      8       |     1 8      |       10      |      1 10     |       12      |
| 111101010100 |  0.03398781714480064   |      2       |      3       |      4       |     2 3      |      6       |     3 4      |      8       |     1 8      |       10      |      1 10     |      2 10     |
| 111101010011 |  0.002663818065414102  |      2       |      3       |      4       |     2 3      |      6       |     3 4      |      8       |     1 8      |      2 8      |       11      |       12      |
| 111101010010 |  0.020783281475507155  |      2       |      3       |      4       |     2 3      |      6       |     3 4      |      8       |     1 8      |      2 8      |       11      |      1 11     |
| 111101010001 |  0.008243192579820712  |      2       |      3       |      4       |     2 3      |     2 4      |     1 6      |     2 6      |     1 8      |      2 8      |      3 8      |       12      |
| 111101010000 |  0.07058571059628445   |      2       |      3       |      4       |     2 3      |     2 4      |     1 6      |     2 6      |     1 8      |      2 8      |      3 8      |      4 8      |
| 111101001111 | 0.0010867161154896672  |      2       |      3       |      4       |     2 3      |      6       |     3 4      |     2 6      |      9       |       10      |       11      |       12      |
| 111101001110 |  0.007277202565465874  |      2       |      3       |      4       |     2 3      |      6       |     3 4      |     2 6      |      9       |       10      |       11      |      1 11     |
| 111101001101 | 0.0033622001974937007  |      2       |      3       |      4       |     2 3      |      6       |     3 4      |     2 6      |      9       |       10      |      1 10     |       12      |
| 111101001100 |  0.02433326801858061   |      2       |      3       |      4       |     1 4      |      6       |     3 4      |     2 6      |      9       |       10      |      1 10     |      2 10     |
| 111101001011 | 0.0019889588282861015  |      2       |      3       |      4       |     2 3      |      6       |     3 4      |     2 6      |      9       |      1 9      |       11      |       12      |
| 111101001010 |  0.015579968396068422  |      2       |      3       |      4       |     2 3      |      6       |     3 4      |     2 6      |      9       |      1 9      |       11      |      1 11     |
| 111101001001 | 0.0061307296459061295  |      2       |      3       |      4       |     2 3      |     2 4      |     3 4      |     2 6      |      9       |      1 9      |      2 9      |       12      |
